title,link,source,time,type,content
"Trading Day: Selling snowballs, turmoil spreads",https://www.investing.com/news/economy-news/trading-day-selling-snowballs-turmoil-spreads-4539305,Reuters,2026-03-03 22:12:39,Free,"ORLANDO, Florida, March 3 (Reuters) - The equity rout sparked by the deepening Middle East crisis spread on Tuesday as Wall Street finally buckled, with soaring energy prices and widening cracks in most other asset markets forcing investors and policymakers to rethink their outlook.

More on that below. In my column today I look at how the current turmoil has exposed the frailties of the traditional ""60-40"" investment portfolio. With stocks and bonds both selling off, where is the protection from diversifying?

If you have more time to read, here are a few articles I recommend to help you make sense of what happened in markets today. 1. Middle East conflict widens as Israeli, U.S. strikesagain hit Iran; oil soars, shares slide 2. Global energy prices soar as Iran crisis disruptsshipping, oil and gas production 3. Dollar gets its mojo back - but only by default: MikeDolan 4. Bond markets dominated by inflation fear, promptingrate-cut bets to fall 5. Fed faces new inflation, growth risks despite U.S.energy resilience

Today’s Key Market Moves * STOCKS: S&P 500, Nasdaq, Dow lose ~1%, Japan -3%, SouthKorea -7%. Main European indices down 2.5-3.5%, Brazil andMexico -3%. * SECTORS/SHARES: All 11 sectors in the S&P 500 fall, ledby materials -2.7%, industrials -2%. Defense & aerospace stocks-2% from Monday’s record high. Micron Technology, Newmont Corp-8%; Best Buy, Target +7%. * FX: Dollar up sharply again, USD/JPY in ""interventionzone"" near 158.00. EM FX slammed - Brazil real -2% for worst daythis year, Chile’s peso -3%. * BONDS: U.S. yields +2 bps, two U.S. rate cuts this yearno longer fully priced. Spanish yields jump 10 bps after Trumpthreatens to cut trade with Spain. * COMMODITIES/METALS: Oil jumps 5%, Brent highest sinceJuly 2024. U.S. diesel highest since November 2023, European LNG+22%. Gold -4%, other precious metals -9%. U.S. copper -2%.

Today’s Talking Points

* What goes up, must come down

Few corners of world markets are escaping the selloff now gathering force. Pockets that might have been insulated by solid underlying fundamentals or seen as reasonable diversification options are being hammered just as hard as anything else.

South Korean equities, gold and silver were among the biggest losers on Tuesday. It’s no coincidence that they were among the biggest gainers recently - gold and silver at the end of last year, and the KOSPI up 50% in the first two months of this year. In the scramble for liquidity, assets that rose most on waves of frenzied speculation have most room to fall.

* Kevin help us now

Two quarter-point rate cuts from the Fed this year are no longer fully priced into the 2026 U.S. rate futures strip. Right now, investors are viewing the negative energy supply shock and surging prices as an inflation threat rather than a growth risk, and are pricing the Fed accordingly.

With inflation already comfortably above the Fed’s target, it could not be a more challenging environment for Kevin Warsh, President Donald Trump’s Fed chair nominee, who is expected to succeed Jerome Powell in May. Might the Fed’s first move under Warsh’s leadership be a rate hike?

* Private credit still a problem

While events in the Middle East have a chokehold on global asset prices, the problems brewing under the hood of the private credit market haven’t gone away. If anything, the surge in redemptions from Blackstone’s flagship private credit fund shows they are intensifying.

Shares in Blackstone tumbled 5% on Tuesday, and shares in rivals KKR and Apollo also fell. They’ve all lost around 30% this year, and are down 45-50% from their all-time highs. The geopolitical turmoil has accelerated the scramble for cash and liquidity, snowballing the selling.

What could move markets tomorrow? * Developments in the Middle East, especially regardingenergy supply disruptions * Australia GDP (Q4) * Japan services PMI (February) * China ""official"" manufacturing, services PMIs (February) * Japan consumer confidence (February) * Bank of Japan Governor Kazuo Ueda speaks * UK services PMI (February) * European Central Bank Vice President Luis de Guindos andboard member Piero Cipollone speak at separate events * Euro zone services PMI (February) * Bank of Canada Governor Tiff Macklem speaks * U.S. PMI (February) * U.S. services ISM (February) * U.S. ADP private sector employment (February)

Want to receive Trading Day in your inbox every weekday morning? Sign up for my newsletter here.

Opinions expressed are those of the author. They do not reflect the views of Reuters News, which, under the Trust Principles, is committed to integrity, independence, and freedom from bias."
Micron and MongoDB among market cap stock movers on Tuesday,https://www.investing.com/news/stock-market-news/micron-and-mongodb-among-market-cap-stock-movers-on-tuesday-93CH-4538804,Investing.com,2026-03-03 19:01:43,Free,"Tuesday’s market has seen significant shifts in various stocks driven by recent news and market factors. Today, stocks like Micron Tech (MU) and MongoDB (MDB) are experiencing notable declines. Below are highlights of some of the biggest stock movers, from mega-caps to small caps.

Mega-Cap Movers (Market Cap:$200 billion USD or higher)

Large-Cap Stock Movers (Market Cap:$10-$200 billion USD)

Mid-Cap Stock Movers (Market Cap:$2-$10 billion USD)

Small-Cap Stock Movers (Market Cap:$300 million - $2 billion USD)

For real-time, market-moving news, join Investing Pro.

This article was generated with the support of AI and reviewed by an editor. For more information see our T&C."
"Micron, Intel among market cap stock movers on Tuesday",https://www.investing.com/news/stock-market-news/micron-intel-among-market-cap-stock-movers-on-tuesday-93CH-4538431,Investing.com,2026-03-03 15:31:50,Free,"Tuesday’s market has seen significant fluctuations in various stocks driven by recent news and other factors. Today, stocks like Micron Technology and MongoDB are experiencing notable declines, while others like Venture Global Inc are seeing gains. Below are highlights of some of the biggest stock movers, from mega-caps to small caps.

Mega-Cap Movers ($200B+ Market Cap)

Large-Cap Stock Movers ($10B-$200B Market Cap)

Mid-Cap Stock Movers ($2B-$10B Market Cap)

Small-Cap Stock Movers ($300M-$2B Market Cap)

For real-time, market-moving news, join Investing Pro.

This article was generated with the support of AI and reviewed by an editor. For more information see our T&C."
Micron ships 256GB low-power memory samples for AI servers,https://www.investing.com/news/company-news/micron-ships-256gb-lowpower-memory-samples-for-ai-servers-93CH-4538080,Investing.com,2026-03-03 14:04:59,Free,"BOISE, Idaho - Micron Technology Inc. (NASDAQ:MU) announced Tuesday it is shipping customer samples of 256GB SOCAMM2 modules, which the company describes as the industry’s highest-capacity LPDRAM module for servers. The $464 billion semiconductor manufacturer has seen its stock surge 357% over the past year as demand for AI infrastructure accelerates.

The modules use what Micron calls the industry’s first monolithic 32Gb LPDDR5X die. The 256GB SOCAMM2 provides 2TB of LPDRAM per 8-channel server CPU, representing a one-third increase in capacity compared to the previous 192GB SOCAMM2 modules.

According to the press release statement, the modules consume one-third of the power of equivalent RDIMMs while occupying one-third of the physical footprint. Micron said the modules are designed for AI data centers and high-performance computing applications.

The company stated that in unified memory architectures, the 256GB SOCAMM2 improves time to first token by more than 2.3 times for long-context LLM inference when used for key value cache offload compared to currently available solutions. The comparison is based on Micron internal testing using a Llama3 70B model with 500,000 context length and 16 concurrent users.

For standalone CPU applications, Micron claims the LPDRAM delivers more than three times better performance per watt than mainstream memory modules in high-performance computing workloads, based on internal testing.

""Micron’s achievements in delivering massive memory capacity and bandwidth using less power than traditional server memory with 256GB SOCAMM2 is enabling the next generation of AI CPUs,"" said Ian Finder, head of Product, Data Center CPUs at NVIDIA, in a statement.

Micron is collaborating with NVIDIA on memory solutions for AI infrastructure. The company participates in the JEDEC SOCAMM2 specification definition process.

Micron’s data center LPDRAM portfolio includes components ranging from 8GB to 64GB and SOCAMM2 modules from 48GB to 256GB.

In other recent news, Micron Technology has seen several notable developments. UBS raised its price target for Micron to $475, highlighting strengthening pricing dynamics in the DRAM and NAND sectors, with shortages expected to persist into 2028. Similarly, Stifel increased its price target to $550, citing unexpectedly high memory pricing levels and significant opportunities in server DDR5 and high-bandwidth memory. Meanwhile, Goldman Sachs maintained a Neutral rating with a $360 price target, emphasizing industry undersupply in DRAM and NAND markets.

S&P Global Ratings upgraded Micron to BBB, citing increased scale and growth driven by artificial intelligence demand, which has boosted the company’s EBITDA and cash flow. Investment spending impacted Micron’s cash flow in fiscal 2025, but S&P expects improved cash flow ratios in 2026 due to higher pricing. Additionally, Micron’s stock rose after Wolfe Research confirmed that HBM4 shipments began earlier than anticipated, with the company addressing technical concerns at the Wolfe Autos/Semis conference. These recent developments reflect a period of dynamic change for Micron Technology.

This article was generated with the support of AI and reviewed by an editor. For more information see our T&C."
Micron ships 256GB LPDRAM SOCAMM2 samples for data centers,https://www.investing.com/news/assorted/micron-ships-256gb-lpdram-socamm2-samples-for-data-centers-432SI-4538069,Investing.com,2026-03-03 14:10:04,Free,"Micron Technology Inc. (MU) announced it has begun shipping customer samples of its 256GB LPDRAM SOCAMM2 modules for data center applications. The modules utilize the company’s 32Gb LPDDR5X die technology.

The 256GB SOCAMM2 modules provide 33% more capacity than the previous 192GB version and enable 2TB of LPDRAM per 8-channel CPU configuration. According to Micron, the modules consume one-third the power of equivalent RDIMMs while occupying one-third of the physical footprint.

Micron reported performance improvements in artificial intelligence workloads, stating the modules deliver 2.3 times faster time to first token for long-context large language model inference and three times better performance per watt in standalone CPU applications compared to standard memory modules.

""Micron’s 256GB SOCAMM2 offering enables the most power-efficient CPU-attached memory solution for both AI and HPC,"" said Raj Narasimhan, senior vice president and general manager of Micron’s Cloud Memory Business Unit.

NVIDIA’s Ian Finder, head of Product for Data Center CPUs, said the memory modules support advanced AI infrastructure requirements. Micron indicated it is collaborating with NVIDIA on memory solutions for AI infrastructure.

The SOCAMM2 design features a modular format intended for serviceability and supports liquid-cooled server architectures. Micron participates in JEDEC SOCAMM2 specification development.

Micron currently offers LPDRAM components ranging from 8GB to 64GB and SOCAMM2 modules from 48GB to 256GB capacity. The information was provided in a company press release."
Micron ships 256GB LPDRAM SOCAMM2 samples to customers,https://www.investing.com/news/assorted/micron-ships-256gb-lpdram-socamm2-samples-to-customers-432SI-4538059,Investing.com,2026-03-03 14:03:07,Free,"Micron Technology Inc. (MU) announced it has begun shipping customer samples of its 256GB LPDRAM SOCAMM2 memory modules for data center applications. The modules use the company’s 32Gb LPDDR5X die technology.

The 256GB SOCAMM2 modules provide 33% more capacity than the previous 192GB version, enabling 2TB of LPDRAM per 8-channel CPU configuration. Micron states the modules consume one-third the power of equivalent RDIMMs while occupying one-third of the footprint.

According to the company’s internal testing, the modules deliver 2.3 times faster time to first token for long-context LLM inference when used for KV cache offload. In standalone CPU applications, the LPDRAM provides three times better performance per watt than mainstream memory modules for high-performance computing workloads.

""Micron’s 256GB SOCAMM2 offering enables the most power-efficient CPU-attached memory solution for both AI and HPC,"" said Raj Narasimhan, senior vice president and general manager of Micron’s Cloud Memory Business Unit.

The company is collaborating with NVIDIA on memory solutions for AI infrastructure. Ian Finder, head of Product, Data Center CPUs at NVIDIA, said Micron’s achievements in delivering memory capacity and bandwidth while using less power ""is enabling the next generation of AI CPUs.""

Micron’s data center LPDRAM portfolio spans 8GB to 64GB components and 48GB to 256GB SOCAMM2 modules. The company continues to participate in JEDEC SOCAMM2 specification development."
UBS raises Micron stock price target to $475 on memory shortages,https://www.investing.com/news/analyst-ratings/ubs-raises-micron-stock-price-target-to-475-on-memory-shortages-93CH-4534290,Investing.com,2026-03-02 11:56:54,Free,"Memory producers are struggling to add capacity fast enough due to lack of fab space, extended equipment lead times, and shortage of field service and process engineers to install and qualify tools, according to the analyst. The majority of new capacity will be allocated to HBM, extending severe shortages of DDR5 and NAND.

UBS now projects Micron’s earnings per share at approximately $60 in calendar 2026, compared with Street estimates of around $40, and approaching $85 in calendar 2027 versus Street estimates of roughly $48. The company’s PEG ratio of 0.19 suggests the stock trades at an attractive valuation relative to its near-term earnings growth potential.

The firm believes Micron is leveraging current market tightness into new long-term agreements that would concede some near-term pricing upside but create more sustainable revenue and earnings over the next few years.

In other recent news, Micron Technology has seen several notable developments. Stifel has increased its price target for Micron to $550 from $360, maintaining a Buy rating, due to unexpectedly high memory pricing and significant opportunities in server DDR5 and high-bandwidth memory. Meanwhile, Goldman Sachs reiterated a Neutral rating with a $360 price target, focusing on the industry undersupply in DRAM and NAND markets. S&P Global Ratings upgraded Micron to BBB from BBB-, highlighting increased scale and growth driven by artificial intelligence demand, which has bolstered the company’s EBITDA and cash flow. Additionally, Micron’s presentation at the Wolfe conference revealed that HBM4 memory shipments have commenced ahead of schedule, countering previous technical concerns. Morgan Stanley also raised its price target for Micron to $450 from $350, citing ongoing DRAM price increases and supply shortages. These recent developments underscore the dynamic shifts occurring within Micron Technology’s market landscape.

This article was generated with the support of AI and reviewed by an editor. For more information see our T&C."
Stifel raises Micron stock price target on memory pricing strength,https://www.investing.com/news/analyst-ratings/stifel-raises-micron-stock-price-target-on-memory-pricing-strength-93CH-4534081,Investing.com,2026-03-02 11:17:11,Free,"Investing.com - Stifel raised its price target on Micron Technology shares (NASDAQ:MU) to $550 from $360 while maintaining a Buy rating on the stock. The upgrade comes as Micron shares trade at $412.37 with a market capitalization of $464 billion, following a remarkable 342% return over the past year.

The firm cited memory pricing reaching unexpectedly high levels as evidence of a widening gap between supply and demand. Stifel noted that server DDR5 represents a significant opportunity alongside high-bandwidth memory, forecasting server RDIMM gross margins expanding more than 80% and crossing over HBM. Micron’s current gross profit margin stands at 45%, with revenue growth of 45% over the last twelve months.

Consumer memory pricing has doubled in recent months to over $1 per gigabyte, according to the firm. Stifel now models blended gross margins at software-like levels by mid-year, in the mid-to-upper 70% range, persisting through the end of 2026.

Supply checks indicate memory supply remains relatively fixed over the next 12 months, suggesting pricing strength will continue. The firm believes consensus estimates are too low and underestimate the magnitude of upward revision potential in coming quarters.

In other recent news, Micron Technology has seen significant developments that could impact investor decisions. S&P Global Ratings upgraded Micron to BBB from BBB-, highlighting increased scale and growth driven by artificial intelligence demand, which has positively influenced the company’s EBITDA and cash flow. This upgrade reflects long-term revenue growth expectations. Meanwhile, Micron’s management confirmed during a Wolfe Research conference that the company has begun volume shipments of its HBM4 memory earlier than anticipated, addressing any technical concerns and indicating a strong market position.

On the financial front, Morgan Stanley raised its price target for Micron to $450, citing ongoing DRAM price increases and supply shortages as reasons for its optimistic outlook. Similarly, Deutsche Bank increased its price target to $500, pointing to favorable supply and demand dynamics in the memory market. These adjustments suggest confidence in Micron’s future performance. Additionally, Goldman Sachs reiterated a Neutral rating for Micron, emphasizing the importance of DRAM and NAND market conditions for investors. These recent developments underscore Micron’s evolving position in the technology sector.

This article was generated with the support of AI and reviewed by an editor. For more information see our T&C."
Micron Tech receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/ubs-maintains-micron-at-buy-with-a-price-target-of-47500-4534044,Investing.com,2026-03-02 11:17:02,Pro,PAID
Goldman Sachs reiterates Micron stock rating on DRAM pricing strength,https://www.investing.com/news/analyst-ratings/goldman-sachs-reiterates-micron-stock-rating-on-dram-pricing-strength-93CH-4533980,Investing.com,2026-03-02 10:58:53,Free,"The firm expects investors to continue focusing on the level of industry undersupply in DRAM and NAND, and the duration of pricing growth in these markets.

The firm believes investor positioning remains positive given the stock price run-up and continued expectations for meaningful pricing growth in DRAM.

In other recent news, Micron Technology has reported several notable developments. S&P Global Ratings upgraded Micron to a BBB rating from BBB-, citing the positive impact of artificial intelligence demand on the company’s EBITDA and cash flow. This upgrade reflects expectations of increased long-term revenue growth. Additionally, Wolfe Research confirmed Micron’s early volume shipments of its HBM4 memory, with shipments beginning a quarter ahead of schedule, dispelling previous technical concerns. In the investment community, Morgan Stanley raised its price target for Micron to $450, highlighting ongoing DRAM price increases and supply shortages as factors for its optimistic outlook. Deutsche Bank also increased its price target to $500, citing favorable supply and demand dynamics in the memory market. Furthermore, UBS adjusted its price target to $450, noting strengthened pricing dynamics for DRAM and NAND memory. These developments indicate a positive trajectory for Micron, driven by increased demand and favorable market conditions.

This article was generated with the support of AI and reviewed by an editor. For more information see our T&C."
Micron Tech receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/stifel-maintains-micron-at-buy-with-a-price-target-of-55000-4533931,Investing.com,2026-03-02 10:35:02,Pro,PAID
Micron Tech receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/goldman-sachs-maintains-micron-at-neutral-with-a-price-target-of-36000-4533914,Investing.com,2026-03-02 10:23:01,Pro,PAID
Morgan Stanley reiterates Overweight rating on Nvidia stock at $260,https://www.investing.com/news/analyst-ratings/morgan-stanley-reiterates-overweight-rating-on-nvidia-stock-at-260-93CH-4533721,Investing.com,2026-03-02 07:43:01,Free,"Investing.com - Morgan Stanley reiterated an Overweight rating on Nvidia Corp. (NASDAQ:NVDA) with a $260.00 price target, according to analyst Joseph Moore.

The firm shifted its top semiconductor pick from Nvidia to Sandisk in September, then to Micron Technology Inc. in November. The strategy was based on expectations that AI strength would drive greater earnings leverage in memory stocks compared to Nvidia.

Memory stocks have risen between 300% and 900% since the November call, while Nvidia trades at the same price despite current quarter earnings expectations growing 38% over six months. The stock currently trades at $177.19 with a P/E ratio of 37.73 and a notably low PEG ratio of 0.54, suggesting potential value relative to its growth trajectory.

Morgan Stanley noted that client conversations about memory stocks and Nvidia are similar, with recognition that conditions are exceptional for both. A strong peak year at current valuations has been viewed as more investable for memory stocks due to more dynamic upward revisions.

In other recent news, Nvidia reported a significant revenue growth of 73% year-over-year and anticipates similar growth in the upcoming quarter. This strong performance was noted by several firms, including UBS, which reiterated a Buy rating with a $245.00 price target, highlighting the robust demand and revenue guidance. UBS pointed out that Nvidia’s revenue guidance of $78 billion surpassed most investor expectations, with demand commentary being particularly optimistic. TD Cowen also reiterated a Buy rating, maintaining a $235.00 price target, citing solid results and an improving capital expenditure environment. Despite these strong results, Nvidia’s stock experienced a decline, which Goldman Sachs analysts attributed to broader concerns about a slowdown in AI spending. Meanwhile, RBC Capital reiterated an Outperform rating with a $250.00 price target, expressing surprise at the market’s reaction to Nvidia’s earnings. In another development, Amazon announced plans to invest $50 billion in OpenAI, marking one of the largest corporate investments in AI infrastructure to date.

This article was generated with the support of AI and reviewed by an editor. For more information see our T&C."
Nvidia’s Huang: Nvidia is Micron’s Largest Customer - Fox Business,https://www.investing.com/news/pro/nvidias-huang-nvidia-is-microns-largest-customer--fox-business-432SI-4529469,Investing.com,2026-02-26 20:57:03,Pro,PAID
